section,section_index,ENGLISH,RUSSIAN,JAPANESE,VIETNAMESE,KOREAN,ARMENIAN,CHINESE,SPANISH
summary_performance,1,The following lines will have revised schedules to improve reliability and on-time performance:,По этим маршрутам будут пересмотрены графики движения с целью повышения надежности и обеспечения пунктуальности.,下記の路線では、信頼性と定時運行率の向上のた めに時刻表が改正されます：,Các tuyến sau sẽ được sửa đổi lịch trình để cải thiện độ tin cậy và hiệu suất đúng giờ:,다음 노선은 신뢰도와 정시 운행 개선을 위해 일정이 수정됩니다.,"Հետևյալ գծերը կունենան վերանայված
ժամանակացույցեր՝ բարելավելու
համար հուսալիությունը և ժամանակին
գործելը.",下列線路將會增加出行班次以提高承載量：週間：,Se revisarán los horarios de las siguientes líneas para mejorar la confiabilidad y la puntualidad:
summary_performance,2,"Weekday: 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534 ","Будни: 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534",平日： 2、14、18、28、37、60、78、90、92、94、150、152、210、217、224、234、240、534,"Các ngày trong tuần: 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534","평일: 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534","շաբաթվա օրերին՝ 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534",週間： 2、14、18、28、37、60、78、90、92、94、150、152、210、217、224、234、240、534,"Entre semana: 2, 14, 18, 28, 37, 60, 78, 90, 92, 94, 150, 152, 210, 217, 224, 234, 240, 534 "
summary_performance,3,"Saturday: 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534","Суббота: 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534",土曜日： 14、18、37、60、90、92、94、106、150、152、210、224、240、534,"Thứ Bảy: 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534","토요일: 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534","շաբաթ օրը՝ 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534",週六： 14、18、37、60、90、92、94、106、150、152、210、224、240、534,"Sábados: 14, 18, 37, 60, 90, 92, 94, 106, 150, 152, 210, 224, 240, 534"
summary_performance,4,"Sunday: 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534","Воскресенье: 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534",日曜日： 14、18、37、60、76、92、94、106、150、210、224、240、534,"Chủ Nhật: 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534","일요일: 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534","կիրակի օրը՝ 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534",週日： 14、18、37、60、76、92、94、106、150、210、224、240、534,"Domingos: 14, 18, 37, 60, 76, 92, 94, 106, 150, 210, 224, 240, 534"
details,1,"2 – Improve Saturday, Sunday frequency from every 12 minutes to every 10 minutes. Revised schedule weekday to improve service reliability. ","2 – Увеличить частоту движения автобусов по субботам и воскресеньям,  уменьшив промежутки между рейсами с  12 до 10 минут. График движения в будни  был пересмотрен с целью повышения  надежности обслуживания.  ",2 – 土曜日および日曜日の運行頻度を12分に1  本から10分に1本に改善します。サービスの信頼  性向上のため、平日の時刻表を改正します。  ,"2 – Tăng tần suất từ 12 phút một chuyến  thành 10 phút một chuyến vào Thứ Bảy,  Chủ Nhật. Sửa đổi lịch trình các ngày trong  tuần để cải thiện độ tin cậy của dịch vụ.  ","2 – 토요일, 일요일 운행 간격은 12분에서 10  분으로 개선됩니다. 서비스 신뢰도 향상을 위해  평일 일정을 수정했습니다.  ",2 – Շաբաթ և կիրակի օրերին բարելավված հաճախականություն՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպենմեկ: Աշխատանքային օրերի համար վերանայված ժամանակացույց՝ սպասարկման հուսալիության բարձրացման նպատակով:,2 – 將週六、週日的班次時間間隔從每12分鐘一 班縮短為每10分鐘一班。為了提高服務穩定性，已修訂週間的巴士時間表。,2 – Mejorar la frecuencia de los sábados y los domingos de cada 12 minutos a 10 minutos. Revisar el horario entre semana para mejorar la confiabilidad del servicio.
details,2,"4 – Improve weekday frequency from every 10 minutes to every 7.5 minutes and Saturday, Sunday frequency from every 12 minutes to every 10 minutes. ","4 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 10 до 7,5  минут. Промежутки между субботними  и воскресными рейсами уменьшить с 12  до 10 минут. В Santa Monica ежедневно c  10 часов вечера до 6 часов утра маршрут  автобусов будет проходить через все  остановки кроме конечной остановки на  6th St.  ",4 – 平日の運行頻度を10分に1本から7.5分に1本  に、土曜日および日曜日の運行頻度を12分に1  本から10分に1本に改善します。Santa Monicaで  は午後10時から翌日午前6時までの間、6th Stの  ターミナル以外は、すべてのバス停にバスが停  まります。  ,"4 – Tăng tần suất từ 10 phút một chuyến  thành 7.5 phút một chuyến vào các ngày  trong tuần và tăng tần suất từ 12 phút một  chuyến thành 10 phút một chuyến vào Thứ  Bảy, Chủ Nhật. Tại Santa Monica, từ 10 giờ  tối đến 6 giờ sáng hàng ngày, xe buýt sẽ  phục vụ tất cả các điểm dừng ngoại trừ  điểm cuối tại 6th St.  ","4 – 평일 운행 간격은 10분에서 7.5분으로, 토요일,  일요일 운행 간격은 12분에서 10분 간격으로  개선됩니다. Santa Monica에서 오후 10시~오전  6시 사이 운행하는 일일 버스는 6번가의 종점을  제외한 모든 정류장에 멈춥니다.  ","4 – Շաբաթվա օրերին բարելավված հաճախականություն՝ յուրաքանչյուր 10 րոպեիփոխարեն յուրաքանչյուր 7,5 րոպեն մեկ, իսկ շաբաթ և կիրակի օրերին՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: Santa Monica քաղաքում երեկոյան ժամը 10-ից մինչև առավոտյան 6-ն ամեն օր գնացքները կսպասարկեն բոլոր կանգառները, բացառությամբ 6th St.-ի:",4 – 週間的班次時間間隔從每10分鐘一班縮短 為每7.5分鐘一班，週六、週日的班次時間間隔則 從每12分鐘一班縮短為每10分鐘一班。在Santa Monica，運行時間為晚上10點至早上6點的巴士 將在除6th St終點站的所有車站停靠。,4 – Mejorar la frecuencia entre semana de cada 10 minutos a 7.5 minutos y la frecuencia de los sábados y los domingos de cada 12 minutos a 10 minutos.
details,3,"14 – Revised schedule weekday, Saturday, Sunday to improve service reliability. ","14 – График движения в будни, а также  по субботам и воскресеньям был  пересмотрен с целью повышения  надежности обслуживания.  ",14 – サービスの信頼性向上のため、平日、土曜  日、および日曜日の時刻表を改正します。  ,"14 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy, Chủ Nhật để cải thiện độ tin cậy  của dịch vụ.  ","14 – 서비스 신뢰도 향상을 위해 평일, 토요일,  일요일 일정을 수정했습니다.  ","14 – Վերանայված ժամանակացույց շաբաթվա,շաբաթ ևկիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով:",14 – 為了提高服務穩定性，已修訂週間、週六、週日的巴士時間表。,"14 – Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,4,"18 – Improve weekday peak periods frequency from every 7.5 minutes to every 6 minutes. Revised schedule weekday, Saturday, Sunday to improve service reliability. ","18 – Увеличить частоту движения  автобусов в будни в периоды  повышенного спроса, уменьшив  промежутки между рейсами с 7,5 до  6 минут. График движения в будни,  а также по субботам и воскресеньям  был пересмотрен с целью повышения  надежности обслуживания.  ",18 – 平日ピーク時の運行頻度を7.5分に1本から  6分に1本に改善します。サービスの信頼性向上  のため、平日、土曜日、および日曜日の時刻表を  改正します。  ,"18 – Tăng tần suất từ 7.5 phút một chuyến  thành 6 phút một chuyến vào các giờ cao  điểm trong tuần. Sửa đổi lịch trình các ngày  trong tuần, Thứ Bảy, Chủ Nhật để cải thiện  độ tin cậy của dịch vụ.  ","18 – 평일 피크 시간대 운행 간격을 7.5분에서 6  분으로 개선합니다. 서비스 신뢰도 향상을 위해  평일, 토요일, 일요일 일정을 수정했습니다.  ","18 – Աշխատանքային օրերի պիկ ժամանակահատվածներին բարելավված հաճախականություն՝ յուրաքանչյուր 7,5 րոպեի փոխարեն յուրաքանչյուր 6 րոպեն մեկ: Վերանայված ժամանակացույց շաբաթվա, շաբաթ և կիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով:",18 – 週間尖峰時段的班次時間間隔從每7.5分鐘 一班縮短為每6分鐘一班。為了提高服務穩定 性，已修訂週間、週六、週日的巴士時間表。,"18 – Mejorar la frecuencia de las horas pico entre semana de cada 7.5 minutos a 6 minutos. Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,5,"28 – Improve Saturday, Sunday frequency from every 15 minutes to every 12 minutes. Revised schedule weekday to improve service reliability. ","28 – Увеличить частоту движения  автобусов в субботу и воскресенье,  уменьшив промежутки между рейсами с  15 до 12 минут. График движения в будни  был пересмотрен с целью повышения  надежности обслуживания.  ",28 – 土曜日および日曜日の運行頻度を15分に1  本から12分に1本に改善します。サービスの信頼  性向上のため、平日の時刻表を改正します。  ,"28 – Tăng tần suất từ 15 phút một chuyến  thành 12 phút một chuyến vào Thứ Bảy,  Chủ Nhật. Sửa đổi lịch trình các ngày trong  tuần để cải thiện độ tin cậy của dịch vụ.  ","28 – 토요일, 일요일 운행 간격을 15분에서 12  분으로 개선합니다. 서비스 신뢰도 향상을 위해  평일 일정을 수정했습니다.  ",28 – Շաբաթ և կիրակի օրերին բարելավված հաճախականություն՝ յուրաքանչյուր 15 րոպեի փոխարեն յուրաքանչյուր 12 րոպեն մեկ: Աշխատանքային օրերի համար վերանայված ժամանակացույց՝ սպասարկման հուսալիության բարձրացման նպատակով:,28 – 週六、週日的班次時間間隔從每15分鐘一 班縮短為每12分鐘一班。為了提高服務穩定性，已修訂週間的巴士時間表。,28 – Mejorar la frecuencia de los sábados y los domingos de cada 15 minutos a 12 minutos. Revisar el horario entre semana para mejorar la confiabilidad del servicio.
details,6,30 – Improve weekday peak periods frequency from every 10 minutes to every 7.5 minutes. ,"30 – Увеличить частоту движения  автобусов в часы повышенного спроса,  уменьшив промежутки между рейсами с  10 до 7,5 минут.  ",30 – 平日ピーク時の運行頻度を10分に1本から  7.5分に1本に改善します。  ,30 – Tăng tần suất từ 10 phút một chuyến  thành 7.5 phút một chuyến vào các giờ cao  điểm trong tuần.  ,30 – 평일 피크 시간대 운행 간격을 10분에서 7.5  분으로 개선합니다.  ,30 – Աշխատանքային օրերի պիկ ժամանակահատվածներին բարելավված հաճախականություն՝ յուրաքանչյուր 10 րոպեի փոխարեն յուրաքանչյուր 7.5 րոպեն մեկ:,30 – 週間尖峰時段的班次時間間隔從每10分鐘 一班縮短為每7.5分鐘一班。,30 – Mejorar la frecuencia de las horas pico entre semana de cada 10 minutos a 7.5 minutos.
details,7,33 – Add one additional trip Saturdays to accommodate more riders. ,"33 – Добавить один дополнительный  рейс по субботам, чтобы обеспечить  перевозку большего количества  пассажиров.  ",33 – 輸送定員増加のために、土曜日の運行数が  1本追加されます。  ,33 – Tăng thêm một chuyến vào các ngày  Thứ Bảy để phục vụ nhiều hành khách hơn.  ,33 – 더 많은 승객을 수용할 수 있도록 토요일에  운행을 한 건 추가합니다.  ,33 – Եվս մեկ ուղղության ավելացում շաբաթ օրերին՝ ավելի շատ ուղևորներ սպասարկելու համար:,33 – 週六增加一班出行班次以載運更多乘客。,33 – Agregar un viaje los sábados para atender a más pasajeros.
details,8,"37 – Revised schedule weekday, Saturday, Sunday to improve service reliability. ","37 – График движения в будни, а также  по субботам и воскресеньям был  пересмотрен с целью повышения  надежности обслуживания.  ",37 – サービスの信頼性向上のため、平日、土曜  日、および日曜日の時刻表を改正します。  ,"37 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy, Chủ Nhật để cải thiện độ tin cậy  của dịch vụ.  ","37 – 서비스 신뢰도 향상을 위해 평일, 토요일,  일요일 일정을 수정했습니다.  ","37 – Վերանայված ժամանակացույց շաբաթվա,  շաբաթ և կիրակի օրերի համար՝ ծառայության հուսալիությունը բարելավելու նպատակով:",37 – 為了提高服務穩定性，已修訂週間、週六、週日的巴士時間表。,"37 – Revisar el horario entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,9,40 – Reroute southbound to serve Downtown Inglewood K Line Station; reroute northbound via Crenshaw Bl Leimert Park Station; new stop southbound Crenshaw Bl at Martin Luther King Jr K Line Station. ,40 – Перенаправить в южном  направлении через остановку Downtown  Inglewood K Line; Перенаправить в  северном направлении через остановку  Crenshaw Bl Leimert Park; добавить в  маршрут новую остановку севернее  Crenshaw Bl на остановке Martin Luther King  Jr K Line.  ,40 – Downtown Inglewood K Line 駅で運行す  るため南行きルートを区間変更; Crenshaw Bl  Leimert Park 駅を経由するため北行きルートを  変更; Crenshaw Bl 南行きでMartin Luther King  Jr K Line 駅を新設。  ,40 – Đổi lịch trình về phía nam để phục  vụ Ga Downtown Inglewood K Line; Đổi  lịch trình về phía bắc qua Ga Crenshaw Bl  Leimert Park; điểm dừng mới về phía nam  Crenshaw Bl tại Ga Martin Luther King Jr K  Line.  ,40 – Downtown Inglewood K노선 역 운행을  위해 남쪽으로 노선을 변경합니다. Crenshaw  Bl Leimert 공원역을 경유해 북쪽으로 노선을  변경합니다. Martin Luther King Jr K노선역의  Crenshaw Bl 남쪽에 새 정류장을 신설합니다.  ,"40 – Փոխեք գիծը դեպի հարավ՝ Downtown Inglewood K Line Station կայարան, փոխեք գիծը դեպի հյուսիս՝ Crenshaw Bl Leimert Park Station կայարան, նոր կանգառ դեպի հարավ՝ Crenshaw Bl՝ Martin Luther King Jr K Line Station կայարանում: ",40 – 改變南行線路，在Downtown Inglewood K 線站停靠；改變北行線路，途徑Crenshaw Bl Leimert Park車站；在Martin Luther King Jr K線 站的Crenshaw Bl南行線路增設一個車站。,40 – Cambiar la ruta hacia el sur para servir a la estación Downtown Inglewood de Metro K Line; Cambiar la ruta hacia el norte a través de la estación Crenshaw Bl Leimert Park; nueva parada Crenshaw Bl en dirección sur en la estación Martin Luther King Jr. de Metro K Line.
details,10,53 – Improve weekday frequency from every 10-12 minutes to every 10 minutes. ,"53 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 10–12 до 10  минут.  ",53 – 平日の運行頻度を10 12分に1本から10分に  1本に改善します。  ,53 – Tăng tần suất từ 10-12 phút một  chuyến thành 10 phút một chuyến vào các  ngày trong tuần.  ,53 – 평일 운행 간격을 10~12분에서 10분으로  개선합니다.  ,53 – Շաբաթվա օրերին բարելավված հաճախականություն՝ յուրաքանչյուր 10 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: ,53 – 週間的班次時間間隔從每10-12分鐘一班縮 短為每10分鐘一班。,53 – Mejorar la frecuencia entre semana de cada 10 a 12 minutos a 10 minutos.
details,11,"60 – Revised schedules weekday, Saturday, Sunday to improve service reliability. ","60 – График движения в будни, а также  по субботам и воскресеньям был  пересмотрен с целью повышения  надежности обслуживания.  ",60 – サービスの信頼性向上のため、平日、土曜  日、および日曜日の時刻表を改正します。 ,"60 – Sửa đổi lịch trình các ngày trong tuần,  Thứ Bảy, Chủ Nhật để cải thiện độ tin cậy  của dịch vụ.  ","60 – 서비스 신뢰도 향상을 위해 평일, 토요일,  일요일 일정을 수정했습니다.  ","60 – Շաբաթվա օրերին, շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ",60 – 為了提高服務穩定性，已修訂週間、週六、 週日的巴士時間表。,"60 – Revisar los horarios entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
details,12,66 – Improve weekday midday frequency from every 12 minutes to every 10 minutes.,"66 – Увеличить частоту движения  автобусов в будни в обеденное время,  уменьшив промежутки между рейсами с  12 до 10 минут.  ",66 – 平日の日中の運行頻度を12分に1本から10   分に1本に改善します。  ,66 – Tăng tần suất từ 12 phút một chuyến  thành 10 phút một chuyến vào giữa các  ngày trong tuần.  ,66 – 평일 낮의 운행 간격을 12분에서 10분으로  개선합니다.  ,66 – Շաբաթվա օրերի ընթացքում կեսօրին բարելավված հաճախականություն՝ յուրաքանչյուր 12 րոպեի փոխարեն յուրաքանչյուր 10 րոպեն մեկ: ,66 – 週間午間的班次時間間隔從每12分鐘一班 縮短為每10分鐘一班。,66 – Mejorar la frecuencia entre semana al mediodía de cada 12 minutos a 10 minutos.
details,13,70 – Improve weekday frequency from every 10 minutes to every 7.5 minutes. ,"70 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 10 до 7,5  минут.  ",70 – 平日の運行頻度を10分に1本から7.5分に1  本に改善します。  ,70 – Tăng tần suất từ 10 phút một chuyến  thành 7.5 phút một chuyến vào các ngày  trong tuần.  ,70 – 평일 운행 간격을 10분에서 7.5분으로  개선합니다.  ,70 – Շաբաթվա օրերին բարելավված հաճախականություն՝ յուրաքանչյուր 10 րոպեի փոխարեն յուրաքանչյուր 7.5 րոպեն մեկ: ,70 – 週間的班次時間間隔從每10分鐘一班縮短 為每7.5分鐘一班。,70 – Mejorar la frecuencia entre semana de cada 10 minutos a 7.5 minutos.
details,14,76 – Revised schedule Sundays to improve service reliability. ,76 – График движения по воскресеньям  был пересмотрен с целью повышения  надежности обслуживания. ,76 – サービスの信頼性向上のため、日曜日の時  刻表を改正します。  ,76 – Sửa đổi lịch trình các ngày Chủ Nhật để  cải thiện độ tin cậy của dịch vụ.  ,76 – 서비스 신뢰도 향상을 위해 일요일 일정을  수정했습니다.  ,76 – Կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ,76 – 為了提高服務穩定性，已修訂週日的巴士 時間表。,76 – Revisar los horarios los domingos para mejorar la confiabilidad del servicio.
details,15,"78 – To better accommodate buses, the terminus at Arcadia is relocated from westbound Las Tunas Dr to eastbound Live Oak Av at McCulloch Av. Revised schedule weekday to improve service reliability. ","78 – Для лучшего наполнения  автобусов конечная остановка в Arcadia,  находившаяся в западной части Las  Tunas Dr, была перенесена в восточную  часть Live Oak Av на McCulloch Av. График  движения в будни был пересмотрен  с целью повышения надежности  обслуживания.  ",78 – サービスの信頼性向上のため、平日の時刻  表を改正します。よりよいバス運行サービスのた  め、Arcadiaのターミナルは、Las Tunas Drの西行  きから、Live Oak Avの東行きのMcCulloch Aveに  変更されます。  ,78 – Sửa đổi lịch trình các ngày trong tuần  để cải thiện độ tin cậy của dịch vụ.  ,78 – 버스의 더 나은 수용을 위해 Arcadia의  종점을 Las Tunas Dr 서쪽 방향에서 McCulloch  Av의 Live Oak Av 동쪽 방향으로 재배치합니다.  서비스 신뢰도 향상을 위해 평일 일정을  수정했습니다.  ,78 – Գնացքներն ավելի լավ բաշխելու համար Arcadia-ի տերմինալը տեղափոխվում է արևմուտք՝ Las Tunas Dr-ից դեպի արևելք՝ Live Oak Av՝ McCulloch Av-ում: Աշխատանքային օրերի համար վերանայված ժամանակացույց՝ սպասարկման հուսալիության բարձրացման նպատակով: ,78 – 為了更好地適應巴士運行，Arcadia的終點 站將從Las Tunas Dr西行線路遷至McCulloch Av 的Live Oak Av東行線路。為了提高服務穩定性，已修訂週間的巴士時間表。,"78 – Para acomodar mejor a los autobuses, la terminal en Arcadia se reubica de Las Tunas Dr en dirección oeste a Live Oak Av en dirección este en McCulloch Av. Revisar el horario entre semana para mejorar la confiabilidad del servicio."
details,16,"90 – Improve weekday frequency from every 30 minutes to every 20 minutes. Revised schedules weekday, Saturday to improve service reliability. ","90 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 30 до 20  минут. График движения в будни и по  субботам был пересмотрен с целью  повышения надежности обслуживания.  ",90 – 平日の運行頻度を30分に1本から20分に1  本に改善します。サービスの信頼性向上のため、  平日、および土曜日の時刻表を改正します。  ,"90 – Tăng tần suất từ 30 phút một chuyến  thành 20 phút một chuyến vào các ngày  trong tuần. Sửa đổi lịch trình các ngày  trong tuần, Thứ Bảy để cải thiện độ tin cậy  của dịch vụ.  ","90 – 평일 운행 간격을 30분에서 20분으로  개선합니다. 서비스 신뢰도 향상을 위해 평일,  토요일 일정을 수정했습니다.  ",90 – Շաբաթվա օրերին վերանայված հաճախականություն՝ յուրաքանչյուր 30 րոպեի փոխարեն յուրաքանչյուր 20 րոպեն մեկ: Շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ,90 – 週間的班次時間間隔從每30分鐘一班縮短 為每20分鐘一班。為了提高服務穩定性，已修訂 週間、週日的巴士時間表。,90 – Mejorar la frecuencia entre semana de cada 30 minutos a 20 minutos. Revisar los horarios entre semana y los sábados para mejorar la confiabilidad del servicio.
details,17,"92 – Improve weekday frequency from every 30 minutes to every 20 minutes. Revised schedules weekday, Saturday, Sunday to improve service reliability. ","92 – Увеличить частоту движения  автобусов в будни, уменьшив  промежутки между рейсами с 30 до  20 минут. График движения в будни,  а также по субботам и воскресеньям  был пересмотрен с целью повышения  надежности обслуживания.  ",92 – 平日の運行頻度を30分に1本から20分に1  本に改善します。サービスの信頼性向上のため、  平日、土曜日、および日曜日の時刻表を改正し  ます。  ,"92 – Tăng tần suất từ 30 phút một chuyến  thành 20 phút một chuyến vào các ngày  trong tuần. Sửa đổi lịch trình các ngày  trong tuần, Thứ Bảy, Chủ Nhật để cải thiện  độ tin cậy của dịch vụ.  ","92 – 평일 운행 간격을 30분에서 20분으로  개선합니다. 서비스 신뢰도 향상을 위해 평일,  토요일, 일요일 일정을 수정했습니다.  ","92 – Շաբաթվա օրերին վերանայված հաճախականություն՝ յուրաքանչյուր 30 րոպեի փոխարեն յուրաքանչյուր 20 րոպեն մեկ: Շաբաթվա օրերին, շաբաթ և կիրակի օրերին վերանայված ժամանակացույց՝ ծառայության հուսալիությունը բարելավելու համար: ",92 – 週間的班次時間間隔從每30分鐘一班縮短 為每20分鐘一班。為了提高服務穩定性，已修訂 週間、週六、週日的巴士時間表。,"92 – Mejorar la frecuencia entre semana de cada 30 minutos a 20 minutos. Revisar los horarios entre semana, los sábados y los domingos para mejorar la confiabilidad del servicio."
